analysis_date,uw_rpd,mp_rpd,sample_id,site
11-May-23,2.9,,2019060401-01,Filter blank
11-May-23,2.3,,2019061001-01,Filter blank
11-May-23,0.3,,2019052101-01,Filter blank
11-May-23,0.6,,2019060401-01,Filter blank
11-May-23,7.7,,2019050801-01,Filter blank
11-May-23,9.4,,2019061006-02,304 LA CB Hypo
11-May-23,3.9,,2019090302-03,227 LA CB 4m
11-May-23,3,,2019100704-02,304 LA CB Hypo
11-May-23,14.8,,2019050801-01,Filter blank
18-May-23,7.7,,2020010701-01,Filter blank
18-May-23,8,,2020010704-01,303 LA CB 1m
18-May-23,3.4,,2020031702-05,227 LA CB 10m
18-May-23,3.3,,2020050701-02,Method blank
18-May-23,264.9,,2020072801-02,Method blank
18-May-23,6.8,,2020010701-01,Filter blank
23-May-23,2.2,,2021011901-02,Method blank
23-May-23,6.1,,2021060806-01,227 LA CB Epi
23-May-23,0.8,,2021031602-05,227 LA CB 8m
23-May-23,8.5,,2021050404-04,227 LA CB 6m
23-May-23,8.8,,2021060806-02,227 LA CB Meta
23-May-23,3.6,,2021071306-04,227 LA CB 6m
23-May-23,2.6,,2021050404-04,227 LA CB 6m
23-May-23,0.7,,2021031601-01,Filter blank
26-May-23,1.2,,2022081601-01,Method blank
26-May-23,1,,2022081003-06,227 LA CB 10m
26-May-23,0.1,,2022081003-05,227 LA CB 8m
26-May-23,4.3,,2022072702-02,227 LA CB Meta
26-May-23,0,,2022071106-05 ,227 LA CB 8m
26-May-23,0.4,,2022071103-01,304 LA CB Epi
26-May-23,3.8,,2022061502-01,227 LA CB Epi
26-May-23,1.4,,2022060602-02,304 LA CB Meta
26-May-23,0.2,,2022082402-02,227 LA CB Meta
26-May-23,0.3,,2022090703-02,227 LA CB Meta
26-May-23,0.4,,2022092602-04,304 LA CB 4m
26-May-23,1.1,,2022100303-03,227 LA CB 4m
10-Aug-23,,0.03,2019052102-02,227 LA CB Meta
10-Aug-23,,0.06,2019070203-02,227 LA CB Meta
10-Aug-23,,0.04,2019080703-07,227 LA CB 10m
14-Aug-23,,0.01,2019090302-06,227 LA CB 10m
14-Aug-23,,0.02,2019102103-01,304 LA CB Epi
14-Aug-23,,0.06,2019102103-03,304 LA CB Epi
14-Aug-23,,0.02,2020010702-02,227 LA CB 4m
14-Aug-23,,0.02,2020010702-03,227 LA CB 6m
14-Aug-23,,0.02,2020031707-01,304 LA CB 1m
17-Aug-23,,0.01,2020053106-01,304 LA CB Epi
17-Aug-23,,0.01,2020082305-01,303 LA CB Epi
17-Aug-23,,0.05,2021012002-01,303 LA CB 1m
17-Aug-23,,0.01,2021050505-01,304 LA CB Epi
22-Aug-23,,0.01,2021060806-06 3x,227 LA CB 10m
22-Aug-23,,0.04,2021070606-01,303 LA CB Epi
22-Aug-23,,0.04,2021081704-01,227 LA CB Epi
22-Aug-23,,0.01,2021102605-01,303 LA CB Epi
24-Aug-23,,0.01,2022071802-03,304 LA CB 1m
24-Aug-23,,0.01,2022071802-05 4x,304 LA CB 6m
24-Aug-23,,0.01,2022080203-02,303 LA CB 2.25m
24-Aug-23,,0.02,2022081602-02 2x,303 LA CB 2.25m
24-Aug-23,,0.01,2022090703-04,227 LA CB 6m
24-Aug-23,,0.06,2022092102-01,227 LA CB Epi
24-Aug-23,,0.03,2022100303-06,227 LA CB 10m
24-Aug-23,,0.02,2022102503-05,304 LA CB 6m
07-Sep-23,,0.04,2022092602-05 4x,304 LA CB 6m
